count,hate_speech_count,offensive_language_count,neither_count,class,label_name,dataset_index,P_non_tox_source,P_tox_source,toxic_bert_positive
3,2,1,0,0,hate speech,6271,0.21289825,0.78710175,True
3,0,3,0,1,offensive language,14829,0.031438887,0.9685611,True
3,0,3,0,1,offensive language,2990,0.001704514,0.9982955,True
3,0,3,0,1,offensive language,15803,0.0059838295,0.9940162,True
3,0,3,0,1,offensive language,12594,0.04622376,0.95377624,True
3,0,3,0,1,offensive language,21415,0.2393868,0.7606132,True
3,2,1,0,0,hate speech,5000,0.0023601055,0.9976399,True
3,0,3,0,1,offensive language,9299,0.0030645132,0.9969355,True
3,1,2,0,1,offensive language,13862,0.012542546,0.98745745,True
3,0,3,0,1,offensive language,15940,0.089808404,0.9101916,True
3,0,3,0,1,offensive language,13041,0.054768503,0.9452315,True
3,0,3,0,1,offensive language,24447,0.16291624,0.83708376,True
3,0,3,0,1,offensive language,6169,0.03846073,0.96153927,True
3,0,3,0,1,offensive language,6853,0.00906378,0.9909362,True
3,1,2,0,1,offensive language,10436,0.007513523,0.9924865,True
3,0,3,0,1,offensive language,4765,0.008010089,0.9919899,True
3,0,3,0,1,offensive language,24465,0.03541255,0.96458745,True
3,1,2,0,1,offensive language,7502,0.0026637912,0.9973362,True
6,0,6,0,1,offensive language,18247,0.02418673,0.97581327,True
3,0,3,0,1,offensive language,22978,0.0011172891,0.9988827,True
3,2,1,0,0,hate speech,24436,0.04061985,0.95938015,True
3,0,3,0,1,offensive language,7345,0.11671919,0.8832808,True
3,0,3,0,1,offensive language,12873,0.04050386,0.95949614,True
3,0,3,0,1,offensive language,7651,0.06337023,0.9366298,True
3,0,3,0,1,offensive language,599,0.0026077032,0.9973923,True
3,2,1,0,0,hate speech,23462,0.0015310645,0.99846894,True
3,0,2,1,1,offensive language,19757,0.18442059,0.8155794,True
6,1,5,0,1,offensive language,2114,0.017977178,0.9820228,True
3,0,3,0,1,offensive language,373,0.105288565,0.89471143,True
3,0,3,0,1,offensive language,23230,0.030741215,0.9692588,True
3,3,0,0,0,hate speech,10631,0.006011963,0.99398804,True
3,1,2,0,1,offensive language,10801,0.011109114,0.9888909,True
3,0,3,0,1,offensive language,360,0.0034649372,0.99653506,True
3,1,2,0,1,offensive language,19589,0.0031775236,0.9968225,True
3,0,3,0,1,offensive language,10362,0.091679156,0.90832084,True
3,0,3,0,1,offensive language,17339,0.08261466,0.91738534,True
3,0,3,0,1,offensive language,10830,0.0027647614,0.99723524,True
3,0,3,0,1,offensive language,445,0.001940906,0.9980591,True
3,0,3,0,1,offensive language,4574,0.06974316,0.93025684,True
3,0,2,1,1,offensive language,12515,0.23144466,0.76855534,True
3,0,3,0,1,offensive language,7380,0.025369942,0.97463006,True
3,3,0,0,0,hate speech,14984,0.29492188,0.7050781,True
6,1,5,0,1,offensive language,18950,0.0041841865,0.9958158,True
3,0,3,0,1,offensive language,7083,0.05965185,0.94034815,True
3,0,3,0,1,offensive language,1714,0.0050193667,0.99498063,True
9,1,8,0,1,offensive language,1136,0.04861164,0.95138836,True
3,0,3,0,1,offensive language,2608,0.0021492243,0.9978508,True
3,0,3,0,1,offensive language,3375,0.006259382,0.9937406,True
3,0,3,0,1,offensive language,1769,0.049805164,0.95019484,True
3,0,3,0,1,offensive language,19226,0.03167355,0.96832645,True
3,1,2,0,1,offensive language,5556,0.095154345,0.90484565,True
3,0,3,0,1,offensive language,5973,0.004476905,0.9955231,True
3,0,3,0,1,offensive language,4895,0.36911994,0.63088006,True
3,1,2,0,1,offensive language,22385,0.0036346912,0.9963653,True
6,0,6,0,1,offensive language,17588,0.12014824,0.87985176,True
3,0,3,0,1,offensive language,3289,0.04196477,0.95803523,True
3,0,3,0,1,offensive language,8667,0.018235385,0.9817646,True
3,1,2,0,1,offensive language,9929,0.09542668,0.9045733,True
3,3,0,0,0,hate speech,19518,0.034130752,0.96586925,True
3,0,3,0,1,offensive language,3207,0.0012087226,0.9987913,True
3,1,2,0,1,offensive language,15377,0.016319633,0.98368037,True
3,0,3,0,1,offensive language,21304,0.015056193,0.9849438,True
3,0,3,0,1,offensive language,11567,0.08538604,0.91461396,True
3,0,3,0,1,offensive language,23677,0.011182666,0.98881733,True
3,2,1,0,0,hate speech,1394,0.026153445,0.97384655,True
6,2,4,0,1,offensive language,23546,0.0051389337,0.99486107,True
3,0,3,0,1,offensive language,19118,0.008062184,0.9919378,True
3,1,2,0,1,offensive language,18077,0.06839186,0.93160814,True
3,0,3,0,1,offensive language,5459,0.0026242733,0.9973757,True
3,1,2,0,1,offensive language,9878,0.03140354,0.96859646,True
